Poem_Index,Title,Author,URL,Content,A,B,C
62,送别·下马饮君酒,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_dc090c40cab3.aspx,"下马饮君酒，问君何所之？
君言不得意，归卧南山陲。
但去莫复问，白云无尽时。",将进酒,终南别业,行路难·其三
63,送元二使安西,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_12a2295aa76b.aspx,"渭城朝雨浥轻尘，客舍青青柳色新。
劝君更尽一杯酒，西出阳关无故人。",长恨歌,送梓州李使君,西施咏
64,送僧归日本,钱起 〔唐代〕,https://www.gushiwen.cn/shiwenv_dffaca77458e.aspx,"上国随缘住，来途若梦行。
浮天沧海远，去世法舟轻。
水月通禅寂，鱼龙听梵声。
惟怜一灯影，万里眼中明。",梦游天姥吟留别,渡荆门送别,晚次鄂州
65,送人东游,温庭筠 〔唐代〕,https://www.gushiwen.cn/shiwenv_57cf93080fe5.aspx,"荒戍落黄叶，浩然离故关。
高风汉阳渡，初日郢门山。
江上几人在，天涯孤棹还。
何当重相见，樽酒慰离颜。",送陈章甫,贼平后送人北归,燕歌行·并序
66,近试上张水部,朱庆馀 〔唐代〕,https://www.gushiwen.cn/shiwenv_b8d00bf5329b.aspx,"洞房昨夜停红烛，待晓堂前拜舅姑。
妆罢低声问夫婿，画眉深浅入时无。",无题二首·其一,酬张少府,石鱼湖上醉歌
67,过香积寺,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_406aa95e0b46.aspx,"不知香积寺，数里入云峰。
古木无人径，深山何处钟。
泉声咽危石，日色冷青松。
薄暮空潭曲，安禅制毒龙。",听蜀僧濬弹琴,石鼓歌,过故人庄
68,过故人庄,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_4a0d548bebb3.aspx,"故人具鸡黍，邀我至田家。
绿树村边合，青山郭外斜。
开轩面场圃，把酒话桑麻。
待到重阳日，还来就菊花。",寻陆鸿渐不遇,客夜与故人偶集,寄人
69,辋川闲居赠裴秀才迪,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_81ad764f0e24.aspx,"寒山转苍翠，秋水日潺湲。
倚杖柴门外，临风听暮蝉。
渡头馀落日，墟里上孤烟。(馀 一作：余)
复值接舆醉，狂歌五柳前。",长恨歌,赠阙下裴舍人,秋登兰山寄张五
70,轮台歌奉送封大夫出师西征,岑参 〔唐代〕,https://www.gushiwen.cn/shiwenv_9aed86610172.aspx,"轮台城头夜吹角，轮台城北旄头落。
羽书昨夜过渠黎，单于已在金山西。
戍楼西望烟尘黑，汉军屯在轮台北。
上将拥旄西出征，平明吹笛大军行。
四边伐鼓雪海涌，三军大呼阴山动。
虏塞兵气连云屯，战场白骨缠草根。
剑河风急雪片阔，沙口石冻马蹄脱。(雪片阔 一作：云片阔)
亚相勤王甘苦辛，誓将报主静边尘。
古来青史谁不见，今见功名胜古人。",燕歌行·并序,白雪歌送武判官归京,听董大弹胡笳声兼寄语弄房给事
71,走马川行奉送封大夫出师西征,岑参 〔唐代〕,https://www.gushiwen.cn/shiwenv_ad4d98d510ea.aspx,"君不见走马川行雪海边，平沙莽莽黄入天。
轮台九月风夜吼，一川碎石大如斗，随风满地石乱走。
匈奴草黄马正肥，金山西见烟尘飞，汉家大将西出师。
将军金甲夜不脱，半夜军行戈相拨，风头如刀面如割。
马毛带雪汗气蒸，五花连钱旋作冰，幕中草檄砚水凝。
虏骑闻之应胆慑，料知短兵不敢接，车师西门伫献捷。(车师 一作：军师)",长恨歌,韦讽录事宅观曹将军画马图,听董大弹胡笳声兼寄语弄房给事
72,赤壁,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_3fb397218a1e.aspx,"折戟沉沙铁未销，自将磨洗认前朝。
东风不与周郎便，铜雀春深锁二乔。",听筝,长恨歌,石鼓歌
73,赠阙下裴舍人,钱起 〔唐代〕,https://www.gushiwen.cn/shiwenv_f210718ad962.aspx,"二月黄莺飞上林，春城紫禁晓阴阴。(黄莺 一作：黄鹂)
长乐钟声花外尽，龙池柳色雨中深。
阳和不散穷途恨，霄汉长怀捧日心。(长怀 一作：长悬)
献赋十年犹未遇，羞将白发对华簪。",长恨歌,赠内人,送綦毋潜落第还乡
74,赠孟浩然,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_709b2d5c7ebf.aspx,"吾爱孟夫子，风流天下闻。
红颜弃轩冕，白首卧松云。
醉月频中圣，迷花不事君。
高山安可仰，徒此揖清芬。",宿王昌龄隐居,黄鹤楼送孟浩然之广陵,赠内人
75,赠卫八处士,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_9670cc44eef4.aspx,"人生不相见，动如参与商。
今夕复何夕，共此灯烛光。
少壮能几时，鬓发各已苍。
访旧半为鬼，惊呼热中肠。
焉知二十载，重上君子堂。
昔别君未婚，儿女忽成行。
怡然敬父执，问我来何方。
问答乃未已，驱儿罗酒浆。(乃未已 一作：未及已；驱儿 一作：儿女)
夜雨剪春韭，新炊间黄粱。
主称会面难，一举累十觞。
十觞亦不醉，感子故意长。
明日隔山岳，世事两茫茫。",长恨歌,丹青引赠曹将军霸,听安万善吹觱篥歌
76,赠别二首·其二,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_b4fbe7244670.aspx,"多情却似总无情，唯觉尊前笑不成。(尊 一作：樽)
蜡烛有心还惜别，替人垂泪到天明。",金陵图,孤雁二首·其二,金缕衣
77,赠别二首·其一,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_a1cf171da994.aspx,"娉娉袅袅十三余，豆蔻梢头二月初。
春风十里扬州路，卷上珠帘总不如。",观公孙大娘弟子舞剑器行,凉州词二首·其一,梦李白二首·其一
78,赠内人,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_a6a842d363d7.aspx,"禁门宫树月痕过，媚眼惟看宿鹭窠。
斜拔玉钗灯影畔，剔开红焰救飞蛾。",月夜·今夜鄜州月,赠阙下裴舍人,佳人
79,赋得暮雨送李胄,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_40920344347d.aspx,"楚江微雨里，建业暮钟时。
漠漠帆来重，冥冥鸟去迟。
海门深不见，浦树远含滋。
相送情无限，沾襟比散丝。",夕次盱眙县,赋得古原草送别,积雨辋川庄作
80,赋得古原草送别,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_b7820a12ebaa.aspx,"离离原上草，一岁一枯荣。
野火烧不尽，春风吹又生。
远芳侵古道，晴翠接荒城。
又送王孙去，萋萋满别情。",喜见外弟又言别,赋得暮雨送李胄,渡荆门送别
81,贾生,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_cd908d31f388.aspx,"宣室求贤访逐臣，贾生才调更无伦。
可怜夜半虚前席，不问苍生问鬼神。",遣悲怀三首·其三,长沙过贾谊宅,和贾舍人早朝大明宫之作
82,贼退示官吏,元结 〔唐代〕,https://www.gushiwen.cn/shiwenv_b0dc7d922c3d.aspx,"癸卯岁，西原贼入道县，焚烧杀掠，几尽而去。明年，贼又攻永破邵，不犯此州边鄙而退。岂力能制敌与？盖蒙其伤怜而已。诸使何为忍苦征敛，故作诗一篇以示官吏。
昔岁逢太平，山林二十年。
泉源在庭户，洞壑当门前。
井税有常期，日晏犹得眠。
忽然遭世变，数岁亲戎旃。
今来典斯郡，山夷又纷然。
城小贼不屠，人贫伤可怜。
是以陷邻境，此州独见全。
使臣将王命，岂不如贼焉？
今彼征敛者，迫之如火煎。(今彼 一作：今被)
谁能绝人命，以作时世贤！
思欲委符节，引竿自刺船。
将家就鱼麦，归老江湖边。",琵琶行,石鼓歌,兵车行
83,贼平后送人北归,司空曙 〔唐代〕,https://www.gushiwen.cn/shiwenv_558c33fed0df.aspx,"世乱同南去，时清独北还。
他乡生白发，旧国见青山。
晓月过残垒，繁星宿故关。
寒禽与衰草，处处伴愁颜。",长恨歌,送人东游,石鼓歌
84,贫女,秦韬玉 〔唐代〕,https://www.gushiwen.cn/shiwenv_440bd7ab651d.aspx,"蓬门未识绮罗香，拟托良媒益自伤。
谁爱风流高格调，共怜时世俭梳妆。
敢将十指夸针巧，不把双眉斗画长。
苦恨年年压金线，为他人作嫁衣裳。",长恨歌,烈女操,送杨氏女
85,谷口书斋寄杨补阙,钱起 〔唐代〕,https://www.gushiwen.cn/shiwenv_b9dba57bdd9b.aspx,"泉壑带茅茨，云霞生薜帷。
竹怜新雨后，山爱夕阳时。
闲鹭栖常早，秋花落更迟。
家僮扫萝径，昨与故人期。",山居秋暝,阙题,秋日登吴公台上寺远眺
86,谒衡岳庙遂宿岳寺题门楼,韩愈 〔唐代〕,https://www.gushiwen.cn/shiwenv_516481aac665.aspx,"五岳祭秩皆三公，四方环镇嵩当中。
火维地荒足妖怪，天假神柄专其雄。
喷云泄雾藏半腹，虽有绝顶谁能穷？
我来正逢秋雨节，阴气晦昧无清风。
潜心默祷若有应，岂非正直能感通！
须臾静扫众峰出，仰见突兀撑青空。
紫盖连延接天柱，石廪腾掷堆祝融。
森然魄动下马拜，松柏一径趋灵宫。
粉墙丹柱动光彩，鬼物图画填青红。
升阶伛偻荐脯酒，欲以菲薄明其衷。
庙令老人识神意，睢盱侦伺能鞠躬。
手持杯珓导我掷，云此最吉余难同。
窜逐蛮荒幸不死，衣食才足甘长终。
侯王将相望久绝，神纵欲福难为功。
夜投佛寺上高阁，星月掩映云曈昽。
猿鸣钟动不知曙，杲杲寒日生于东。",长恨歌,与高适薛据同登慈恩寺浮图,琵琶行
87,观公孙大娘弟子舞剑器行,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_ab7f5336bda5.aspx,"大历二年十月十九日，夔府别驾元持宅，见临颍李十二娘舞剑器，壮其蔚跂，问其所师，曰：“余公孙大娘弟子也。” 开元五载，余尚童稚，记于郾城观公孙氏，舞剑器浑脱，浏漓顿挫，独出冠时，自高头宜春梨园二伎坊内人洎外供奉舞女，晓是舞者，圣文神武皇帝初，公孙一人而已。玉貌锦衣，况余白首，今兹弟子，亦非盛颜。既辨其由来，知波澜莫二，抚事慷慨，聊为《剑器行》。昔者吴人张旭，善草书帖，数常于邺县见公孙大娘舞西河剑器，自此草书长进，豪荡感激，即公孙可知矣。
昔有佳人公孙氏，一舞剑器动四方。
观者如山色沮丧，天地为之久低昂。
㸌如羿射九日落，矫如群帝骖龙翔。
来如雷霆收震怒，罢如江海凝清光。
绛唇珠袖两寂寞，晚有弟子传芬芳。
临颍美人在白帝，妙舞此曲神扬扬。
与余问答既有以，感时抚事增惋伤。
先帝侍女八千人，公孙剑器初第一。
五十年间似反掌，风尘澒洞昏王室。
梨园弟子散如烟，女乐余姿映寒日。
金粟堆前木已拱，瞿唐石城草萧瑟。
玳筵急管曲复终，乐极哀来月东出。
老夫不知其所往，足茧荒山转愁疾。",长恨歌,哀王孙,琵琶行
88,西施咏,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_f73dd1f66af4.aspx,"艳色天下重，西施宁久微。
朝为越溪女，暮作吴宫妃。
贱日岂殊众，贵来方悟稀。
邀人傅脂粉，不自著罗衣。
君宠益娇态，君怜无是非。
当时浣纱伴，莫得同车归。
持谢邻家子，效颦安可希。",长恨歌,在狱咏蝉,下终南山过斛斯山人宿置酒
89,西塞山怀古,刘禹锡 〔唐代〕,https://www.gushiwen.cn/shiwenv_1abc932ae63c.aspx,"王濬楼船下益州，金陵王气黯然收。(王濬 一作：西晋)
千寻铁锁沉江底，一片降幡出石头。
人世几回伤往事，山形依旧枕寒流。
今逢四海为家日，故垒萧萧芦荻秋。",长恨歌,夜泊牛渚怀古,秋日登吴公台上寺远眺
90,行路难·其二,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_95834b2324cc.aspx,"大道如青天，我独不得出。
羞逐长安社中儿，赤鸡白雉赌梨栗。
弹剑作歌奏苦声，曳裾王门不称情。
淮阴市井笑韩信，汉朝公卿忌贾生。
君不见昔时燕家重郭隗，拥篲折节无嫌猜。
剧辛乐毅感恩分，输肝剖胆效英才。
昭王白骨萦蔓草，谁人更扫黄金台？
行路难，归去来！",长恨歌,长干行·其一,长相思·其二
91,行路难·其三,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_4d3b4d132c82.aspx,"有耳莫洗颍川水，有口莫食首阳蕨。
含光混世贵无名，何用孤高比云月？
吾观自古贤达人，功成不退皆殒身。
子胥既弃吴江上，屈原终投湘水滨。
陆机雄才岂自保？李斯税驾苦不早。
华亭鹤唳讵可闻？上蔡苍鹰何足道？
君不见吴中张翰称达生，秋风忽忆江东行。
且乐生前一杯酒，何须身后千载名？",将进酒,兵车行,送别·下马饮君酒
92,行路难·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_870828ca8aaa.aspx,"金樽清酒斗十千，玉盘珍羞直万钱。(羞 同：馐；直 同：值)
停杯投箸不能食，拔剑四顾心茫然。
欲渡黄河冰塞川，将登太行雪满山。(雪满山 一作：雪暗天)
闲来垂钓碧溪上，忽复乘舟梦日边。(碧 一作：坐)
行路难，行路难，多歧路，今安在？
长风破浪会有时，直挂云帆济沧海。",将进酒,燕歌行·并序,白雪歌送武判官归京
93,行经华山,崔颢 〔唐代〕,https://www.gushiwen.cn/shiwenv_0c4f19716bfe.aspx,"岧峣太华俯咸京，天外三峰削不成。
武帝祠前云欲散，仙人掌上雨初晴。
河山北枕秦关险，驿路西连汉畤平。
借问路旁名利客，何如此处学长生。(何 一作：无)",长恨歌,琵琶行,庐山谣寄卢侍御虚舟
94,行宫,元稹 〔唐代〕,https://www.gushiwen.cn/shiwenv_45c396367f59.aspx,"寥落古行宫，宫花寂寞红。
白头宫女在，闲坐说玄宗。",留别王侍御维,琵琶行,春宫怨
95,蝉,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_435308d6a3e1.aspx,"本以高难饱，徒劳恨费声。
五更疏欲断，一树碧无情。
薄宦梗犹泛，故园芜已平。
烦君最相警，我亦举家清。",逢入京使,在狱咏蝉,塞下曲·蝉鸣空桑林
96,蜀道难,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_d59ec5d6c91c.aspx,"噫吁嚱，危乎高哉！
蜀道之难，难于上青天！
蚕丛及鱼凫，开国何茫然！
尔来四万八千岁，不与秦塞通人烟。
西当太白有鸟道，可以横绝峨眉巅。
地崩山摧壮士死，然后天梯石栈相钩连。
上有六龙回日之高标，下有冲波逆折之回川。
黄鹤之飞尚不得过，猿猱欲度愁攀援。
青泥何盘盘，百步九折萦岩峦。
扪参历井仰胁息，以手抚膺坐长叹。
问君西游何时还？畏途巉岩不可攀。
但见悲鸟号古木，雄飞雌从绕林间。
又闻子规啼夜月，愁空山。
蜀道之难，难于上青天，使人听此凋朱颜！
连峰去天不盈尺，枯松倒挂倚绝壁。
飞湍瀑流争喧豗，砯崖转石万壑雷。
其险也如此，嗟尔远道之人胡为乎来哉！(也如此 一作：也若此)
剑阁峥嵘而崔嵬，一夫当关，万夫莫开。
所守或匪亲，化为狼与豺。
朝避猛虎，夕避长蛇，磨牙吮血，杀人如麻。
锦城虽云乐，不如早还家。
蜀道之难，难于上青天，侧身西望长咨嗟！",梦游天姥吟留别,行路难·其二,听董大弹胡笳声兼寄语弄房给事
97,蜀相,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_625762a4b089.aspx,"丞相祠堂何处寻？锦官城外柏森森。
映阶碧草自春色，隔叶黄鹂空好音。
三顾频烦天下计，两朝开济老臣心。
出师未捷身先死，长使英雄泪满襟。",长恨歌,蜀道难,蜀先主庙
98,蜀先主庙,刘禹锡 〔唐代〕,https://www.gushiwen.cn/shiwenv_5cfb7b0f14bd.aspx,"天地英雄气，千秋尚凛然。(天地 一作：天下)
势分三足鼎，业复五铢钱。
得相能开国，生儿不象贤。
凄凉蜀故妓，来舞魏宫前。",长恨歌,蜀道难,蜀相
99,落花,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_100a2931dea0.aspx,"高阁客竟去，小园花乱飞。
参差连曲陌，迢递送斜晖。
肠断未忍扫，眼穿仍欲归。
芳心向春尽，所得是沾衣。",长恨歌,桃花溪,送綦毋潜落第还乡
100,苏武庙,温庭筠 〔唐代〕,https://www.gushiwen.cn/shiwenv_52ca6ca57b11.aspx,"苏武魂销汉使前，古祠高树两茫然。
云边雁断胡天月，陇上羊归塞草烟。
回日楼台非甲帐，去时冠剑是丁年。
茂陵不见封侯印，空向秋波哭逝川。",长恨歌,蜀先主庙,兵车行
101,芙蓉楼送辛渐,王昌龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_f433a64dd504.aspx,"寒雨连江夜入吴，平明送客楚山孤。
洛阳亲友如相问，一片冰心在玉壶。",凉州词二首·其一,登岳阳楼,寻陆鸿渐不遇
102,至德二载甫自京金光门出间道归凤翔乾元初从左拾遗移华州掾与亲故别因出此门有悲往事,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_c6eb858ffa79.aspx,"此道昔归顺，西郊胡正繁。
至今残破胆，应有未招魂。
近侍归京邑，移官岂至尊。
无才日衰老，驻马望千门。",长恨歌,寄左省杜拾遗,关山月
103,自夏口至鹦鹉洲夕望岳阳寄源中丞,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_e4f3664b14eb.aspx,"汀洲无浪复无烟，楚客相思益渺然。
汉口夕阳斜渡鸟，洞庭秋水远连天。
孤城背岭寒吹角，独树临江夜泊船。(独树 一作：独戍)
贾谊上书忧汉室，长沙谪去古今怜。",长沙过贾谊宅,登岳阳楼,送綦毋潜落第还乡
104,老将行,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_06c78d21bac2.aspx,"少年十五二十时，步行夺得胡马骑。(夺得 一作：夺取)
射杀山中白额虎，肯数邺下黄须儿！
一身转战三千里，一剑曾当百万师。
汉兵奋迅如霹雳，虏骑崩腾畏蒺藜。
卫青不败由天幸，李广无功缘数奇。
自从弃置便衰朽，世事蹉跎成白首。
昔时飞箭无全目，今日垂杨生左肘。
路旁时卖故侯瓜，门前学种先生柳。
苍茫古木连穷巷，寥落寒山对虚牖。(苍茫 一作：茫茫)
誓令疏勒出飞泉，不似颍川空使酒。
贺兰山下阵如云，羽檄交驰日夕闻。
节使三河募年少，诏书五道出将军。
试拂铁衣如雪色，聊持宝剑动星文。
愿得燕弓射大将，耻令越甲鸣吾君。(大将 一作：天将)
莫嫌旧日云中守，犹堪一战取功勋。",长恨歌,将进酒,韦讽录事宅观曹将军画马图
105,经邹鲁祭孔子而叹之,李隆基 〔唐代〕,https://www.gushiwen.cn/shiwenv_325d2f85a89e.aspx,"夫子何为者，栖栖一代中。
地犹鄹氏邑，宅即鲁王宫。
叹凤嗟身否，伤麟怨道穷。
今看两楹奠，当与梦时同。",长恨歌,观公孙大娘弟子舞剑器行,晨诣超师院读禅经
106,终南望余雪,祖咏 〔唐代〕,https://www.gushiwen.cn/shiwenv_038457ce8c4e.aspx,"终南阴岭秀，积雪浮云端。
林表明霁色，城中增暮寒。",早寒江上有怀,终南山,终南别业
107,终南山,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_b2c5b8e21855.aspx,"太乙近天都，连山接海隅。(接 一作：到)
白云回望合，青霭入看无。
分野中峰变，阴晴众壑殊。
欲投人处宿，隔水问樵夫。",长恨歌,终南望余雪,岁暮归南山
108,终南别业,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_cd7027786b98.aspx,"中岁颇好道，晚家南山陲。
兴来每独往，胜事空自知。
行到水穷处，坐看云起时。
偶然值林叟，谈笑无还期。",送别·下马饮君酒,终南望余雪,江南曲
109,筹笔驿,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_1c83ec8bc760.aspx,"鱼鸟犹疑畏简书，风云常为护储胥。
徒令上将挥神笔，终见降王走传车。
管乐有才真不忝，关张无命欲何如？
他年锦里经祠庙，梁父吟成恨有余。",登楼,题大庾岭北驿,秋日赴阙题潼关驿楼
110,竹里馆,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_4809b5e7a16a.aspx,"独坐幽篁里，弹琴复长啸。
深林人不知，明月来相照。",酬张少府,云阳馆与韩绅宿别,鹿柴
111,积雨辋川庄作,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_61ac7e419655.aspx,"积雨空林烟火迟，蒸藜炊黍饷东菑。
漠漠水田飞白鹭，阴阴夏木啭黄鹂。
山中习静观朝槿，松下清斋折露葵。
野老与人争席罢，海鸥何事更相疑。",赋得暮雨送李胄,辋川闲居赠裴秀才迪,过香积寺
112,秦中感秋寄远上人,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_ab3dd0fbce99.aspx,"一丘常欲卧，三径苦无资。
北土非吾愿，东林怀我师。
黄金燃桂尽，壮志逐年衰。
日夕凉风至，闻蝉但益悲。",感遇十二首·其二,秋日登吴公台上寺远眺,秋夜寄邱员外
113,秋登兰山寄张五,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_59375fc2edd7.aspx,"北山白云里，隐者自怡悦。
相望试登高，心随雁飞灭。(试 一作 始)
愁因薄暮起，兴是清秋发。
时见归村人，沙行渡头歇。(沙行 一作：沙平)
天边树若荠，江畔洲如月。(洲 一作：舟)
何当载酒来，共醉重阳节。",长恨歌,关山月,将进酒
114,秋日赴阙题潼关驿楼,许浑 〔唐代〕,https://www.gushiwen.cn/shiwenv_b2aea72b82fa.aspx,"红叶晚萧萧，长亭酒一瓢。
残云归太华，疏雨过中条。
树色随山迥，河声入海遥。(随山 一作：随关)
帝乡明日到，犹自梦渔樵。",长恨歌,阙题,兵车行
115,秋日登吴公台上寺远眺,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_2cc76d63e364.aspx,"古台摇落后，秋日望乡心。(秋日 一作：秋入)
野寺来人少，云峰隔水深。
夕阳依旧垒，寒磬满空林。
惆怅南朝事，长江独至今。",长恨歌,题破山寺后禅院,西塞山怀古
116,秋夜曲,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_46e77c265577.aspx,"桂魄初生秋露微，轻罗已薄未更衣。
银筝夜久殷勤弄，心怯空房不忍归。",秋夕,秋夜寄邱员外,江南曲
117,秋夜寄邱员外,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_0f23fdb7b5f9.aspx,"怀君属秋夜，散步咏凉天。
空山松子落，幽人应未眠。(空山 一作：山空)",长恨歌,秋夜曲,听董大弹胡笳声兼寄语弄房给事
118,秋夕,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_bbe4155bdc90.aspx,"银烛秋光冷画屏，轻罗小扇扑流萤。
天阶夜色凉如水，卧看牵牛织女星。(天阶 一作：天街；卧看 一作：坐看)",秋夜曲,山居秋暝,望蓟门
119,石鼓歌,韩愈 〔唐代〕,https://www.gushiwen.cn/shiwenv_20bc181ba92d.aspx,"张生手持石鼓文，劝我试作石鼓歌。
少陵无人谪仙死，才薄将奈石鼓何。
周纲凌迟四海沸，宣王愤起挥天戈。
大开明堂受朝贺，诸侯剑佩鸣相磨。
蒐于岐阳骋雄俊，万里禽兽皆遮罗。
镌功勒成告万世，凿石作鼓隳嵯峨。
从臣才艺咸第一，拣选撰刻留山阿。
雨淋日炙野火燎，鬼物守护烦撝呵。
公从何处得纸本，毫发尽备无差讹。
辞严义密读难晓，字体不类隶与蝌。
年深岂免有缺画，快剑斫断生蛟鼍。
鸾翔凤翥众仙下，珊瑚碧树交枝柯。
金绳铁索锁钮壮，古鼎跃水龙腾梭。
陋儒编诗不收入，二雅褊迫无委蛇。
孔子西行不到秦，掎摭星宿遗羲娥。
嗟余好古生苦晚，对此涕泪双滂沱。
忆昔初蒙博士征，其年始改称元和。
故人从军在右辅，为我度量掘臼科。
濯冠沐浴告祭酒，如此至宝存岂多。
毡包席裹可立致，十鼓只载数骆驼。
荐诸太庙比郜鼎，光价岂止百倍过。
圣恩若许留太学，诸生讲解得切磋。
观经鸿都尚填咽，坐见举国来奔波。
剜苔剔藓露节角，安置妥帖平不颇。
大厦深檐与盖覆，经历久远期无佗。
中朝大官老于事，讵肯感激徒媕婀。
牧童敲火牛砺角，谁复著手为摩挲。
日销月铄就埋没，六年西顾空吟哦。
羲之俗书趁姿媚，数纸尚可博白鹅。
继周八代争战罢，无人收拾理则那。
方今太平日无事，柄任儒术崇丘轲。
安能以此尚论列，愿借辩口如悬河。
石鼓之歌止于此，呜呼吾意其蹉跎。",长恨歌,山石,琵琶行
120,石鱼湖上醉歌,元结 〔唐代〕,https://www.gushiwen.cn/shiwenv_77085af4c2c2.aspx,"漫叟以公田米酿酒，因休暇，则载酒于湖上，时取一醉。欢醉中，据湖岸，引臂向鱼取酒，使舫载之，遍饮坐者。意疑倚巴丘酌于君山之上，诸子环洞庭而坐，酒舫泛泛然触波涛。而往来者，乃作歌以长之。
石鱼湖，似洞庭，夏水欲满君山青。
山为樽，水为沼，酒徒历历坐洲岛。
长风连日作大浪，不能废人运酒舫。
我持长瓢坐巴丘，酌饮四坐以散愁。",琵琶行,石鼓歌,送别·下马饮君酒
